date,max_temp,min_temp,precip,snow,usgs_well,comments,,,
2/1/1984,5.5,-8,0,0,,,,,
2/2/1984,9,-9,0,0,,,,,
2/3/1984,10,-2,0,0,,,,,
2/4/1984,10,-1.5,0.04,0,,,,,
2/5/1984,9,0,0.26,0.5,,,,,
2/6/1984,7.5,-6.5,0.01,0,,,,,
2/7/1984,7.5,-6,0,0,,,,,
2/8/1984,5,-8,0,0,,,,,
2/9/1984,13,-7,0,0,,,,,
2/10/1984,13,-5,0,0,,,,,
2/11/1984,13,0.5,0.06,0,,,,,
2/12/1984,18.5,-1,0.1,0,,,,,
2/13/1984,17,5,0.01,0,,,,,
2/14/1984,16,7,2.3,0,,,,,
2/15/1984,13,7,1,0,,,,,
2/16/1984,13,7,0,0,,,,,
2/17/1984,9,6,0.01,0,,,,,
2/18/1984,17,6,0.11,0,,,,,
2/19/1984,17.5,4,0,0,,,,,
2/20/1984,9,2.5,0,0,,,,,
2/21/1984,10.5,-2,0,0,,,,,
2/22/1984,15.5,-5,0,0,,,,,
2/23/1984,15.5,0.5,0,0,,,,,
2/24/1984,21,4,1.75,0,,,,,
2/25/1984,21,5.5,0.12,0,,,,,
2/26/1984,8,-17,0,0,,,,,
2/27/1984,1,-4,0,1,,1 inch  snow at approx. 5 p.m.,,,
2/28/1984,3,-3,0.6,0,,,,,
2/29/1984,0,-9,0.05,0,,,,,
3/1/1984,2,-13,0,0,,,,,
3/2/1984,5.5,-6,0,0,,,,,
3/3/1984,5,-7,0,0,,,,,
3/4/1984,6,-8,0,0,,,,,
3/5/1984,8,-1,0.05,0,,,,,
3/6/1984,7,2,0.02,0,,,,,
3/7/1984,6,-1,0,0,,,,,
3/8/1984,2,-6,0,4,,4 inch  snow - 5 p.m.,,,
3/9/1984,-2,-8,0,0,,,,,
3/10/1984,4,-13,0,0,,,,,
3/11/1984,7,-7.5,0,0,,,,,
3/12/1984,6,-8,0,0,,,,,
3/13/1984,6.5,-5,0.52,4,,,,,
3/14/1984,9,-3,0.1,0,,,,,
3/15/1984,15,-5,0,0,,,,,
3/16/1984,22.5,0,0,0,,,,,
3/17/1984,14,1.5,0,0,,,,,
3/18/1984,16,0,0.04,0,,,,,
3/19/1984,12.5,5,0,0,,,,,
3/20/1984,19.5,1.5,0,0,,,,,
3/21/1984,12,5,0.48,0,,,,,
3/22/1984,10,1,0,0,,,,,
3/24/1984,14,-4.5,0,0,,,,,
3/25/1984,18,-1,0.15,0,,,,,
3/26/1984,15,0,0.56,0.25,,1/4 inch  snow - 7:30 a.m.,,,
3/27/1984,10,0,0,0,,,,,
3/28/1984,5.5,3,0.32,0,,.82 inch  rain - 4:30 p.m.,,,
3/29/1984,5.5,0,2.75,8.5,,,,,
3/30/1984,8,-1,0,0,,,,,
3/31/1984,9,0.5,0,0,,,,,
4/1/1984,13,-2,0,0,,,,,
4/2/1984,17.5,-1.5,0,0,,,,,
4/3/1984,17,4,0,0,,,,,
4/4/1984,12.5,5,0.07,0,,,,,
4/5/1984,15,2,1.2,0,,,,,
4/6/1984,14.5,4,0.05,0,,1/4 inch  hail stones 7 p.m.,,,
4/7/1984,22,3,0,0,,,,,
4/8/1984,16.5,0,0,0,,,,,
4/9/1984,14,3,0,0,,,,,
4/10/1984,17,-2,0,0,,,,,
4/11/1984,16,-2,0,0,,,,,
4/12/1984,21,0,0,0,,,,,
4/13/1984,21,10,0,0,,Reading taken at noon,,,
4/14/1984,14,2,0.06,0,,,,,
4/15/1984,16.5,2,1.15,0,,,,,
4/16/1984,17,8,0.5,0,,Reading taken at 11:45 a.m.,,,
4/17/1984,17.5,5,0.02,0,,,,,
4/18/1984,15.5,-1,0.1,0,,,,,
4/19/1984,14.5,3,0.01,0,,,,,
4/20/1984,17,2,0,0,,,,,
4/21/1984,18,5,0,0,,,,,
4/22/1984,12.5,2,0,0,,,,,
4/23/1984,13,1.5,0,0,,,,,
4/24/1984,14,1,0,0,,,,,
4/25/1984,21,-4,0,0,,,,,
4/26/1984,26,-2,0,0,,,,,
4/27/1984,27,9,0,0,,,,,
4/28/1984,20.5,11.5,0,0,,,,,
4/29/1984,25,11.5,0,0,,,,,
4/30/1984,28,12,0.06,0,,,,,
5/1/1984,20,9,0.01,0,,,,,
5/2/1984,20,3.5,0,0,,,,,
5/3/1984,19,9,0,0,,,,,
5/4/1984,21.5,10,1.15,0,,12:15 - 12:45 Heavy rain,,,
5/5/1984,23,5,0.5,0,,,,,
5/6/1984,15,11,0.2,0,,,,,
5/7/1984,17.5,10.5,0.34,0,,,,,
5/8/1984,25,12,0.01,0,,,,,
5/9/1984,25,-1,0.03,0,,,,,
5/10/1984,22.5,7,0,0,,,,,
5/11/1984,24.5,6,0,0,,,,,
5/12/1984,26.5,15.5,0,0,,,,,
5/13/1984,25,6,0,0,,,,,
5/14/1984,15,12.5,0.01,0,,,,,
5/15/1984,15,12.5,0.01,0,,,,,
5/16/1984,16,3,0,0,,,,,
5/17/1984,20.5,-0.5,0,0,,,,,
5/18/1984,26,7.5,0,0,,,,,
5/19/1984,31,8,0,0,,,,,
5/20/1984,30.5,15,0,0,,,,,
5/21/1984,30,16,0.05,0,,,,,
5/22/1984,32,19,0,0,,,,,
5/23/1984,27,19,0.28,0,,Heavy rain around 2 p.m.,,,
5/24/1984,26.5,9.5,0.5,0,,,,,
5/25/1984,28.5,11,0,0,,,,,
5/26/1984,31,16,0,0,,,,,
5/27/1984,30.5,15,0.01,0,,,,,
5/28/1984,25,15,0.01,0,,,,,
5/29/1984,24,17,0.34,0,,Heavy rain,,,
5/30/1984,18,10,0.14,0,,,,,
5/31/1984,20,1,0.01,0,,,,,
6/1/1984,23.5,5,0.01,0,,,,,
6/2/1984,27,6,0,0,,,,,
6/3/1984,28,13,0,0,,,,,
6/4/1984,28,8,0,0,,,,,
6/5/1984,30,9,0,0,,,,,
6/6/1984,33,16,0,0,,,,,
6/7/1984,34.5,15,0.03,0,,,,,
6/8/1984,35,17,0,0,,,,,
6/9/1984,35,17,0,0,,,,,
6/10/1984,35,19,0,0,,,,,
6/11/1984,35,19.5,0,0,,,,,
6/12/1984,33,17.5,0,0,,,,,
6/13/1984,35.5,19,0,0,,Hail around 5-6 p.m. and Thunderstorm,,,
6/14/1984,35,20,0.46,0,,Readings taken at 11:15 a.m.,,,
6/15/1984,26.5,15,0,0,,,,,
6/16/1984,21,15,0,0,,,,,
6/17/1984,31,14,0.01,0,,,,,
6/18/1984,34.5,16.5,0.02,0,,Thunderstorms around 4 p.m. and 12 p.m.,,,
6/19/1984,32,19,0.54,0,,,,,
6/20/1984,28.5,13,0,0,,,,,
6/21/1984,29,12,0,0,,,,,
6/22/1984,27,13,0,0,,,,,
6/23/1984,28,15,0.05,0,,,,,
6/24/1984,27.5,18,0.01,0,,,,,
6/25/1984,28,13.5,0.52,0,,,,,
6/26/1984,28,10.5,0.03,0,,,,,
6/27/1984,33,9,0,0,,,,,
6/28/1984,31,17,0,0,,,,,
6/29/1984,29,17.5,0,0,,,,,
6/30/1984,26.5,18,0.04,0,,,,,
7/1/1984,28.5,19,1.65,0,,,,,
7/2/1984,30,16,0.01,0,,,,,
7/3/1984,31,16,0,0,,,,,
7/4/1984,32,16,0,0,,,,,
7/5/1984,32,21.5,0,0,,,,,
